sample_id,text,true_label,pred_small,pred_medium,pred_large,confidence_small,confidence_medium,confidence_large,latency_small_ms,latency_medium_ms,latency_large_ms,small_correct,medium_correct,large_correct,all_models_wrong,first_success_model,difficulty_level,estimated_routing_latency_ms
0,it 's a charming and often affecting journey . ,1,1,1,1,0.9998838901519777,0.999766170978546,0.9988671541213988,20.96190000884235,46.12310003722087,125.29779999749736,True,True,True,False,small,1,20.96190000884235
1,unflinchingly bleak and desperate ,0,0,0,1,0.998969554901123,0.9856705069541932,0.9936586022377014,24.70290003111586,43.28720003832132,116.28139996901156,True,True,False,False,small,1,24.70290003111586
2,allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . ,1,1,1,1,0.9996399879455566,0.9995738863945008,0.9985557198524476,26.17289999034256,60.55530003504828,134.4134000246413,True,True,True,False,small,1,26.17289999034256
3,"the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . ",1,1,1,1,0.9996993541717528,0.996027946472168,0.9988871216773988,25.7901000441052,53.63440001383424,173.76099998364225,True,True,True,False,small,1,25.7901000441052
4,"it 's slow -- very , very slow . ",0,0,0,0,0.9996892213821412,0.9979519248008728,0.9994718432426452,21.564299997407943,43.118500034324825,133.33729997975752,True,True,True,False,small,1,21.564299997407943
5,"although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . ",1,1,1,1,0.9998290538787842,0.9996365308761596,0.9988848567008972,23.268299992196265,44.72989996429533,142.61149999219924,True,True,True,False,small,1,23.268299992196265
6,a sometimes tedious film . ,0,0,0,0,0.999504566192627,0.9960685968399048,0.9993793964385986,17.849500000011176,34.84410000964999,116.69569998048246,True,True,True,False,small,1,17.849500000011176
7,or doing last year 's taxes with your ex-wife . ,0,0,0,0,0.9917595982551576,0.9940721392631532,0.9877026677131652,19.852800003718585,43.6617000377737,140.24370000697672,True,True,True,False,small,1,19.852800003718585
8,you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . ,1,1,1,1,0.992671012878418,0.9996395111083984,0.9988790154457092,22.556399984750897,53.13139996724203,150.5170000018552,True,True,True,False,small,1,22.556399984750897
9,"in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ",0,0,0,0,0.9992507100105286,0.9970386028289796,0.9994957447052002,24.872099980711937,62.02459998894483,156.6539999912493,True,True,True,False,small,1,24.872099980711937
10,the mesmerizing performances of the leads keep the film grounded and keep the audience riveted . ,1,1,1,1,0.9998838901519777,0.9996545314788818,0.9988948702812196,24.614399997517467,51.204799965489656,139.85029998002574,True,True,True,False,small,1,24.614399997517467
11,"it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ",0,0,0,0,0.9996739625930786,0.9989480376243592,0.9991742968559264,26.309799985028803,60.56640000315383,177.34270001528785,True,True,True,False,small,1,26.309799985028803
12,... the film suffers from a lack of humor ( something needed to balance out the violence ) ... ,0,0,0,0,0.9998156428337096,0.9993059635162354,0.9995028972625732,22.91480003623292,48.58689999673516,147.83860003808513,True,True,True,False,small,1,22.91480003623292
13,"we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . ",1,1,0,1,0.9570926427841188,0.6413257718086243,0.9949215054512024,21.49750001262873,52.141199994366616,158.60450000036508,True,False,True,False,small,1,21.49750001262873
14,even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . ,0,0,0,0,0.999771535396576,0.9991307854652404,0.999497652053833,23.85659998981282,56.67740001808852,159.67220003949478,True,True,True,False,small,1,23.85659998981282
15,"a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drama . ",1,1,1,1,0.999886989593506,0.999749481678009,0.9988921284675598,26.07039996655658,59.34620002517477,143.41740001691505,True,True,True,False,small,1,26.07039996655658
16,the emotions are raw and will strike a nerve with anyone who 's ever had family trauma . ,1,1,1,1,0.9994854927062988,0.9993094205856324,0.9986849427223206,21.91589999711141,54.58330002147704,126.85840000631288,True,True,True,False,small,1,21.91589999711141
17,"audrey tatou has a knack for picking roles that magnify her outrageous charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie . ",1,1,1,1,0.999798595905304,0.9996262788772584,0.998835265636444,29.573499981779605,65.25330001022667,187.25580000318587,True,True,True,False,small,1,29.573499981779605
18,... the movie is just a plain old monster . ,0,0,0,0,0.9992817044258118,0.999196708202362,0.9994924068450928,20.641000010073185,51.37639999156818,127.51949997618794,True,True,True,False,small,1,20.641000010073185
19,"in its best moments , resembles a bad high school production of grease , without benefit of song . ",0,0,0,0,0.9995865225791932,0.998984158039093,0.9994869232177734,22.538900026120245,58.03249997552484,140.74350002920255,True,True,True,False,small,1,22.538900026120245
