text,true_label,pred_label,chosen_model,confidence,num_models_used,total_latency_ms
it 's a charming and often affecting journey . ,1,1,small,0.9998838901519775,1,120.99466699999972
unflinchingly bleak and desperate ,0,0,small,0.998969554901123,1,17.53766600000084
allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . ,1,1,small,0.9996399879455566,1,16.1450839999997
"the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . ",1,1,small,0.9996993541717529,1,14.312625000000523
"it 's slow -- very , very slow . ",0,0,small,0.9996892213821411,1,16.153333000000103
"although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . ",1,1,small,0.9998290538787842,1,12.266583999998915
a sometimes tedious film . ,0,1,large,0.9651740789413452,3,95.32570799999895
or doing last year 's taxes with your ex-wife . ,0,0,small,0.9917595982551575,1,15.405709000001266
you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . ,1,1,small,0.9926711320877075,1,13.2175409999995
"in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ",0,0,small,0.9992507100105286,1,15.888000000000346
the mesmerizing performances of the leads keep the film grounded and keep the audience riveted . ,1,1,small,0.9998838901519775,1,12.102167000000108
"it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ",0,0,small,0.9996739625930786,1,14.333583000000871
... the film suffers from a lack of humor ( something needed to balance out the violence ) ... ,0,0,small,0.9998156428337097,1,5.839416000000597
"we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . ",1,1,small,0.9570928812026978,1,6.18204200000072
even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . ,0,0,small,0.9997715353965759,1,13.851625000000922
"a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drama . ",1,1,small,0.9998869895935059,1,6.11045900000029
the emotions are raw and will strike a nerve with anyone who 's ever had family trauma . ,1,1,small,0.9994854927062988,1,13.933749999999634
"audrey tatou has a knack for picking roles that magnify her outrageous charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie . ",1,1,small,0.999798595905304,1,16.845959000001187
... the movie is just a plain old monster . ,0,0,small,0.9992817044258118,1,13.307874999998859
"in its best moments , resembles a bad high school production of grease , without benefit of song . ",0,0,small,0.9995865225791931,1,6.245040999999674
"pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . ",0,0,small,0.9773436784744263,1,15.640499999999946
the iditarod lasts for days - this just felt like it did . ,0,0,small,0.9551854729652405,1,16.317708000000763
holden caulfield did it better . ,0,1,small,0.9907523393630981,1,12.40895799999997
"a delectable and intriguing thriller filled with surprises , read my lips is an original . ",1,1,small,0.9998834133148193,1,18.259292000001537
seldom has a movie so closely matched the spirit of a man and his work . ,1,1,small,0.9965078234672546,1,18.232499999999874
"nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from stale parody to raunchy sex gags to formula romantic comedy . ",0,0,small,0.9996476173400879,1,21.74358300000101
"the action switches between past and present , but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide . ",0,0,small,0.9980615973472595,1,14.091458000001111
it 's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part . ,1,1,small,0.9996742010116577,1,8.924792000000181
"it 's a cookie-cutter movie , a cut-and-paste job . ",0,0,small,0.9915094375610352,1,16.464457999999738
i had to look away - this was god awful . ,0,0,small,0.9970059990882874,1,8.562666999999635
"thanks to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most compelling variations on in the company of men . ",1,1,small,0.9998767375946045,1,6.342667000000191
"... designed to provide a mix of smiles and tears , `` crossroads '' instead provokes a handful of unintentional howlers and numerous yawns . ",0,0,small,0.9966211318969727,1,16.270915999999858
"a gorgeous , witty , seductive movie . ",1,1,small,0.9998878240585327,1,7.623791000000324
"if the movie succeeds in instilling a wary sense of ` there but for the grace of god , ' it is far too self-conscious to draw you deeply into its world . ",0,0,small,0.9486178755760193,1,8.87645899999967
"it does n't believe in itself , it has no sense of humor ... it 's just plain bored . ",0,0,small,0.9998156428337097,1,17.935082999999352
a sequence of ridiculous shoot - 'em - up scenes . ,0,0,small,0.9997166991233826,1,9.085708000000636
"the weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough . ",1,1,small,0.9991298317909241,1,20.876207999998897
"( w ) hile long on amiable monkeys and worthy environmentalism , jane goodall 's wild chimpanzees is short on the thrills the oversize medium demands . ",0,0,small,0.9870453476905823,1,14.034499999999284
"as surreal as a dream and as detailed as a photograph , as visually dexterous as it is at times imaginatively overwhelming . ",1,1,small,0.9991269707679749,1,11.648083000000753
"escaping the studio , piccoli is warmly affecting and so is this adroitly minimalist movie . ",1,1,small,0.9997716546058655,1,11.805917000000221
"there 's ... tremendous energy from the cast , a sense of playfulness and excitement that seems appropriate . ",1,1,small,0.9998881816864014,1,11.716000000001614
"this illuminating documentary transcends our preconceived vision of the holy land and its inhabitants , revealing the human complexities beneath . ",1,1,small,0.9996800422668457,1,23.5612500000002
the subtle strength of `` elling '' is that it never loses touch with the reality of the grim situation . ,1,1,small,0.9997768998146057,1,10.317957999999905
holm ... embodies the character with an effortlessly regal charisma . ,1,1,small,0.9998315572738647,1,11.880333000000576
