text,true_label,pred_label,model,confidence,latency_ms
"klein , charming in comedies like american pie and dead-on in election , ",1,1,small,0.9997020363807678,34.19270005542785
be fruitful ,1,1,small,0.9991735816001892,26.706899981945753
soulful and ,1,1,small,0.9998668432235718,25.33680002670735
the proud warrior that still lingers in the souls of these characters ,1,1,small,0.9998568296432495,32.29030000511557
covered earlier and much better ,0,0,small,0.9917323589324951,38.602499989792705
wise and powerful ,1,1,small,0.9998682737350464,28.33389991428703
a powerful and reasonably fulfilling gestalt ,1,1,small,0.9998346567153931,31.581199960783124
smart and newfangled ,1,1,small,0.99986732006073,33.88309990987182
it too is a bomb . ,0,0,small,0.998434841632843,28.812100063078105
guilty about it ,0,0,small,0.9966861605644226,22.707900032401085
while the importance of being earnest offers opportunities for occasional smiles and chuckles ,1,1,small,0.9991503953933716,32.31060004327446
stevens ' vibrant creative instincts ,1,1,small,0.9998775720596313,37.01650002039969
great artistic significance ,1,1,small,0.9998636245727539,26.106400066055357
what does n't this film have that an impressionable kid could n't stand to hear ? ,1,1,small,0.9966033697128296,37.58779994677752
working from a surprisingly sensitive script co-written by gianni romoli ... ,1,1,small,0.9994354844093323,31.513500027358532
eight crazy nights is a total misfire . ,0,0,small,0.9994162321090698,34.91980000399053
"weighty revelations , flowery dialogue , and nostalgia for the past ",1,1,small,0.9993178844451904,30.24079999886453
the campy results make mel brooks ' borscht belt schtick look sophisticated . ,1,1,small,0.9994775652885437,31.251000007614493
demonstrate how desperate the makers of this ` we 're - doing-it-for - the-cash ' sequel were ,0,0,small,0.9995717406272888,33.289299928583205
accompanied by the sketchiest of captions . ,0,0,small,0.9991430044174194,32.45199995581061
"a first-class , thoroughly involving b movie that effectively combines two surefire , beloved genres -- the prison flick and the fight film ",1,1,small,0.999833345413208,39.87109998706728
than indecent proposal ,1,1,small,0.866797149181366,35.009699990041554
"an mtv , sugar hysteria ",1,0,small,0.9805984497070312,33.06159994099289
showcases tom hanks as a depression era hit-man in this dark tale of revenge ,1,1,small,0.996501088142395,33.17139996215701
"does n't deliver a great story , nor ",0,0,small,0.9997186064720154,29.24069995060563
"with results that are sometimes bracing , sometimes baffling and quite often , and in unexpected ways , touching ",1,1,small,0.9997808337211609,33.80859992466867
distinct rarity ,1,1,small,0.9996016621589661,26.14430000539869
hate yourself ,0,0,small,0.9995686411857605,26.472599944099784
"the mystery of enigma is how a rich historical subject , combined with so much first-rate talent ... could have yielded such a flat , plodding picture . ",0,0,small,0.9996019005775452,40.41479993611574
unabashedly romantic picture ,1,1,small,0.999721348285675,27.234000037424266
that flow through the hollywood pipeline without a hitch ,1,1,small,0.9972534775733948,30.089000007137656
be killed ,0,0,small,0.9894263744354248,22.0981000456959
"it 'll probably be in video stores by christmas , ",0,0,small,0.998694121837616,28.91370002180338
the pristine camerawork ,1,1,small,0.9998027682304382,31.79989999625832
"terrific , sweaty-palmed fun ",1,1,small,0.9998880624771118,29.651499935425818
takes hold ,1,1,small,0.9996751546859741,18.09039991348982
check this one out ,1,1,small,0.998783528804779,29.93600000627339
is too bad that this likable movie is n't more accomplished . ,1,0,small,0.8212433457374573,31.91380004864186
a moving and weighty depiction of one family ,1,1,small,0.9998619556427002,35.319200018420815
big-hearted and frequently ,1,1,small,0.9995526671409607,36.326900008134544
"acceptable , occasionally very enjoyable ",1,1,small,0.9998315572738647,31.806900049559772
take a complete moron to foul up a screen adaptation of oscar wilde 's classic satire ,0,0,small,0.9995070695877075,33.41200004797429
a saga of the ups and downs of friendships ,1,1,small,0.9991925358772278,34.34820007532835
", beloved genres ",1,1,small,0.999853253364563,27.752300025895238
delicious and delicately ,1,1,small,0.9998775720596313,22.814800031483173
the huskies are beautiful ,1,1,small,0.9998844861984253,32.55530004389584
joyless ,0,0,small,0.9994833469390869,18.734600045718253
"than this unexpectedly moving meditation on love , history , memory , resistance and artistic transcendence ",1,1,small,0.9997566342353821,33.541399985551834
burning ,0,0,small,0.9951643943786621,33.32590009085834
inadvertent ones ,0,0,small,0.9993231296539307,35.27760005090386
hollow tribute ,0,0,small,0.9977899789810181,25.535800028592348
"the 3-d vistas from orbit , with the space station suspended like a huge set of wind chimes over the great blue globe , are stanzas of breathtaking , awe-inspiring visual poetry . ",1,1,small,0.9998437166213989,37.26870007812977
astonishing ... ( frames ) profound ethical and philosophical questions in the form of dazzling pop entertainment ,1,1,small,0.999868631362915,32.51269995234907
"are no special effects , and no hollywood endings . ",0,0,small,0.9855523705482483,28.719100053422153
there 's a scientific law to be discerned here that producers would be well to heed ,0,0,small,0.9986948370933533,36.310299998149276
we have no idea what in creation is going on ,0,0,small,0.9994776844978333,26.03750000707805
"i have always appreciated a smartly written motion picture , ",1,1,small,0.9998717308044434,25.7772000040859
ready-made midnight movie ,1,1,small,0.9992400407791138,25.98300005774945
"to the movie 's contrived , lame screenplay and listless direction ",0,0,small,0.9998075366020203,25.509099941700697
a powerful 1957 drama ,1,1,small,0.9998794794082642,26.235600002110004
"a third-person story now , told by hollywood , and much more ordinary for it ",0,0,small,0.9962294697761536,24.724400020204484
no-surprise series ,0,0,small,0.999595582485199,25.16059996560216
"extra effort to see an artist , still committed to growth in his ninth decade , change while remaining true to his principles ",1,1,small,0.9994561076164246,28.72239996213466
", nickelodeon-esque kiddie flick ",1,1,small,0.9960002303123474,26.039600023068488
offers no new insight ,0,0,small,0.9997139573097229,23.903800058178604
disjointed ,0,0,small,0.9997826218605042,25.69400006905198
combined with indoctrinated prejudice ,0,0,small,0.9878218770027161,20.59729991015047
exploitation film ,0,0,small,0.9994862079620361,15.715999994426966
"who needs mind-bending drugs when they can see this , the final part of the ` qatsi ' trilogy , directed by godfrey reggio , with music by philip glass ? ",1,1,small,0.9970965385437012,35.29659996274859
"sly , sophisticated and surprising . ",1,1,small,0.9998849630355835,21.70079993084073
"for a guy who has waited three years with breathless anticipation for a new hal hartley movie to pore over , no such thing is a big letdown . ",0,0,small,0.9996997117996216,31.652200035750866
pale successor ,0,0,small,0.9997535347938538,17.779799993149936
still want my money back . ,0,0,small,0.9977255463600159,23.14249996561557
"to the filmmakers , ivan is a prince of a fellow , but he comes across as shallow and glib though not mean-spirited , and there 's no indication that he 's been responsible for putting together any movies of particular value or merit . ",0,0,small,0.9985803365707397,39.52530003152788
as terrible as the synergistic impulse that created it ,0,0,small,0.9997492432594299,24.948399979621172
obnoxious adults ,0,0,small,0.9995672106742859,26.72540000639856
every joke is repeated at least -- ,0,0,small,0.9939899444580078,29.52710003592074
for nearly three hours ,1,0,small,0.6542451977729797,25.91199998278171
huge-screen ,1,1,small,0.99973064661026,24.933199980296195
appears not to have been edited at all ,0,0,small,0.9995667338371277,26.10290003940463
"a buoyant romantic comedy about friendship , love , and the truth ",1,1,small,0.9998817443847656,27.601700043305755
seem like such a bore ,0,0,small,0.999818742275238,29.565999982878566
2002 's first great film ,1,1,small,0.9998641014099121,24.658799986355007
"amy and matthew have a bit of a phony relationship , but ",0,0,small,0.9977757334709167,35.22939991671592
classy ,1,1,small,0.9997016787528992,21.325199981220067
clunky tv-movie approach ,0,0,small,0.9994446635246277,33.01609994377941
independent film ,1,1,small,0.9990338087081909,21.593399927951396
"with drama , romance , tragedy , bravery , political intrigue , partisans and sabotage ",1,1,small,0.9997554421424866,57.37679998856038
"more revealing , more emotional and more surprising -- ",1,1,small,0.9995306730270386,28.625099919736385
wo n't have any trouble getting kids to eat up these veggies ,1,1,small,0.9988790154457092,35.19279998727143
ingenious and ,1,1,small,0.9992805123329163,29.144300031475723
"outrageous , ingenious ",1,1,small,0.9996531009674072,31.75550000742078
though it pretends to expose the life of male hustlers ,0,0,small,0.9983401298522949,31.674800091423094
a man whose engaging manner and flamboyant style made him a truly larger-than-life character ,1,1,small,0.9998106360435486,36.23870003502816
is unconvincing soap opera that tornatore was right to cut . ,0,0,small,0.9983277916908264,33.98359997663647
the most purely enjoyable and satisfying evenings ,1,1,small,0.9998856782913208,22.804100066423416
demonstrates a vivid imagination and an impressive style that result in some terrific setpieces ,1,1,small,0.9998857975006104,31.18910000193864
gentle and biting ,1,1,small,0.9995942711830139,20.93939995393157
of dumb drug jokes and predictable slapstick ,0,0,small,0.999599277973175,27.234200038947165
a movie with depth ,1,1,small,0.9995939135551453,23.90410006046295
"its plot and animation offer daytime tv serviceability , but little more . ",0,0,small,0.983796238899231,29.609299963340163
with familiar situations and repetitive scenes ,0,0,small,0.9990573525428772,22.946300101466477
family-oriented ,1,1,small,0.9995357990264893,19.98400001320988
a very resonant chord ,1,1,small,0.9997583031654358,22.108000004664063
"has an ambition to say something about its subjects , but not a willingness . ",0,0,small,0.9984062314033508,25.94439999666065
it 's pretty stupid . ,0,0,small,0.9997891783714294,21.274900063872337
"i 've never seen or heard anything quite like this film , ",1,1,small,0.9980164766311646,24.87050008494407
"audiences are advised to sit near the back and squint to avoid noticing some truly egregious lip-non-synching , ",0,0,small,0.9993417859077454,32.22319995984435
"seem to keep upping the ante on each other , just as their characters do in the film . ",1,1,small,0.9997456669807434,26.470900047570467
"a dull , simple-minded and stereotypical tale of drugs , ",0,0,small,0.9996798038482666,25.726099964231253
uncinematic but ,0,0,small,0.9954133629798889,25.475600035861135
in venice ,1,1,small,0.9968491196632385,18.3734999736771
with so many distracting special effects and visual party tricks ,0,0,small,0.999749481678009,22.90290000382811
anchored by splendid performances ,1,1,small,0.9998862743377686,26.41269995365292
concentrates far too much on the awkward interplay and utter lack of chemistry between chan and hewitt ,0,0,small,0.9997624754905701,26.92229999229312
too simple and the working out of the plot almost arbitrary ,0,0,small,0.9997735619544983,25.142999948002398
"crack you up with her crass , then gasp for gas , verbal deportment ",1,1,small,0.9993873834609985,27.13119995314628
emerges with yet another remarkable yet shockingly little-known perspective . ,1,1,small,0.9997630715370178,26.04050002992153
", you 'll swear that you 've seen it all before , even if you 've never come within a mile of the longest yard . ",0,0,small,0.9995614886283875,32.89160004351288
soon-to-be-forgettable '' section ,0,0,small,0.9996180534362793,24.004700011573732
as a dentist 's waiting room ,0,0,small,0.9912800192832947,19.725400023162365
"downbeat , period-perfect biopic hammers home a heavy-handed moralistic message ",0,1,small,0.9976533055305481,25.696599972434342
imagine ( if possible ) a pasolini film without passion or politics ,0,0,small,0.9994538426399231,25.355099933221936
suspenseful horror movie ,1,1,small,0.9998698234558105,24.402600014582276
"of bland hotels , highways , parking lots ",0,0,small,0.9997158646583557,27.417800039984286
